iter	Passed	Remaining
0	0	50
1	0	44
2	1	41
3	1	38
4	1	37
5	2	37
6	2	37
7	3	36
8	3	35
9	4	36
10	4	35
11	4	35
12	5	34
13	5	34
14	6	34
15	6	33
16	6	33
17	7	32
18	7	32
19	8	32
20	8	31
21	8	31
22	9	30
23	9	30
24	10	30
25	10	29
26	10	29
27	11	29
28	11	28
29	12	28
30	12	27
31	12	27
32	13	27
33	13	26
34	14	26
35	14	25
36	15	25
37	15	25
38	15	24
39	16	24
40	16	24
41	17	23
42	17	23
43	17	22
44	18	22
45	18	21
46	19	21
47	19	21
48	19	20
49	20	20
50	20	19
51	21	19
52	21	19
53	21	18
54	22	18
55	22	17
56	23	17
57	23	17
58	23	16
59	24	16
60	24	15
61	25	15
62	25	15
63	25	14
64	26	14
65	26	13
66	27	13
67	27	12
68	28	12
69	28	12
70	28	11
71	29	11
72	29	10
73	30	10
74	30	10
75	30	9
76	31	9
77	31	8
78	32	8
79	32	8
80	32	7
81	33	7
82	33	6
83	34	6
84	34	6
85	34	5
86	35	5
87	35	4
88	36	4
89	36	4
90	37	3
91	37	3
92	37	2
93	38	2
94	38	2
95	39	1
96	39	1
97	39	0
98	40	0
99	40	0
