iter	Passed	Remaining
0	68	68434
1	68	34425
2	69	23127
3	70	17452
4	70	14109
5	71	11841
6	71	10210
7	72	8984
8	72	8030
9	73	7273
10	73	6651
11	74	6136
12	75	5700
13	75	5333
14	76	5015
15	76	4727
16	77	4477
17	77	4250
18	78	4046
19	78	3863
20	79	3700
21	79	3550
22	80	3412
23	80	3288
24	81	3173
25	81	3065
26	82	2965
27	82	2873
28	83	2787
29	83	2707
30	84	2633
31	84	2562
32	85	2497
33	85	2436
34	86	2381
35	87	2333
36	88	2292
37	88	2246
38	89	2199
39	89	2155
40	90	2112
41	90	2072
42	91	2033
43	92	1999
44	92	1967
45	93	1933
46	93	1900
47	94	1868
48	94	1839
49	95	1811
50	95	1786
51	96	1758
52	96	1732
53	97	1708
54	98	1687
55	98	1666
56	99	1644
57	99	1623
58	100	1602
59	100	1580
60	101	1560
61	101	1540
62	102	1521
63	102	1502
64	103	1486
65	103	1470
66	104	1455
67	105	1441
68	105	1426
69	106	1411
70	106	1396
71	107	1382
72	107	1368
73	108	1355
74	108	1343
75	109	1332
76	110	1321
77	110	1308
78	111	1300
79	112	1288
80	112	1276
81	112	1264
82	113	1250
83	113	1238
84	113	1227
85	114	1216
86	115	1208
87	115	1198
88	116	1189
89	116	1179
90	117	1170
91	117	1161
92	118	1152
93	118	1143
94	119	1133
95	119	1125
96	120	1117
97	120	1112
98	121	1104
99	121	1097
100	122	1091
101	123	1083
102	123	1076
103	124	1069
104	124	1062
105	125	1055
106	125	1047
107	126	1042
108	126	1035
109	127	1029
110	127	1023
111	128	1016
112	128	1010
113	129	1003
114	129	997
115	130	991
116	130	984
117	130	978
118	131	972
119	131	967
120	132	961
121	132	955
122	133	950
123	133	944
124	134	939
125	134	934
126	135	928
127	135	923
128	135	917
129	136	912
130	136	907
131	137	903
132	138	901
133	139	899
134	139	896
135	140	891
136	140	886
137	141	882
138	141	877
139	142	872
140	142	868
141	142	863
142	143	859
143	144	856
144	144	852
145	145	849
146	145	845
147	146	841
148	146	837
149	146	832
150	147	828
151	147	824
152	148	821
153	148	817
154	149	813
155	149	811
156	150	807
157	150	804
158	151	801
159	151	797
160	152	793
161	152	790
162	153	787
163	153	784
164	154	780
165	154	777
166	155	774
167	155	771
168	156	768
169	156	765
170	157	762
171	157	759
172	158	756
173	158	753
174	159	750
175	159	747
176	160	744
177	160	741
178	161	739
179	161	736
180	162	733
181	162	731
182	163	728
183	163	725
184	164	722
185	164	719
186	164	717
187	165	714
188	165	712
189	166	710
190	167	708
191	167	705
192	168	703
193	168	700
194	169	697
195	169	695
196	169	692
197	170	690
198	170	687
199	171	685
200	171	683
201	172	680
202	172	678
203	173	676
204	173	673
205	174	671
206	174	669
207	175	667
208	175	664
209	176	662
210	176	660
211	177	658
212	177	656
213	178	655
214	179	654
215	179	651
216	180	649
217	180	647
218	180	645
219	181	643
220	181	641
221	182	639
222	182	637
223	183	635
224	183	633
225	184	631
226	184	629
227	185	627
228	185	625
229	186	623
230	186	621
231	187	619
232	187	618
233	188	616
234	188	614
235	189	612
236	189	610
237	190	609
238	190	607
239	191	605
240	191	603
241	192	601
242	192	599
243	192	597
244	193	595
245	193	594
246	194	592
247	194	591
248	195	589
249	196	588
250	196	586
251	197	585
252	197	583
253	197	581
254	198	579
255	198	578
256	199	576
257	199	574
258	200	573
259	200	571
260	201	570
261	201	568
262	202	567
263	202	565
264	203	563
265	203	562
266	204	560
267	204	558
268	205	557
269	205	556
270	206	555
271	207	554
272	207	553
